Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units,
0cb778e1-aa83-456f-8099-6b241dbfd647,,,LABORATORY TESTS,,,LAB TESTS,,,This is a labset to collect all test as set members. To be used in o3 which only picks tests that are members to a labset.,,,LabSet,N/A,,,
193b3ef7-a9bd-47ea-a935-cf4b744355ec,,MCL/CIEL:163620,HELICOBACTOR PYLORI AB PRESENCE IN SERUM BY IMMUNOFLUORESCENCE TEST,,,H PYLORI TEST,,,A lab test to detect the presence of Helicobacter Pylori using immunoflorescence.,,,Test,Coded,a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838,,
0f6343de-eb9b-404f-959c-def6ef394fde,,MCL/CIEL:163348;LOINC:31843-6,HELICOBACTOR PYLORI ANTIGEN TEST IN STOOL,,,H PYLORI AG TEST,,,laboratory test that detects the presence of H. pylori proteins (antigens) in a stool sample.,,,Test,Coded,a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838,,
ff02d39c-3ccd-4cf8-b252-21658e32b21d,,MCL/CIEL:161470;LOINC:11572-5,RHEUMATOID FACTOR,,,RF,,,"It is commonly measured in blood to help diagnose autoimmune diseases, especially Rheumatoid arthritis.",,,Test,Coded,a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838,,
76a01a3d-dc11-46a1-86ea-cbf08de5232c,,LOINC:101140-2,SALMONELLA ANTIGEN,,,SALMONELLA AG,,,Bacterial substance that triggers antibody production and is used in lab testing to confirm salmonella infection.,,,Test ,Coded,a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838,,
09b4f7a6-d6b7-4d7e-a09d-47e2be77c150,,MCL/CIEL:169035,MALARIA SMEAR IMPRESSION,,,,,,Examining a stained peripheral blood smear under a microscope to detect malaria parasites.,,,Test,Text,,,
851a1e64-6278-4376-aa3e-cde22c2ad258,,MCL/CIEL:163680;LOINC:5770-3,URINE BILIRUBIN,,,,,,A urine dipstick test to detect the presence of bilirubin.,,,Test ,Coded,a896d2cc-1350-11df-a1f1-0026b9348838;a8a45ab4-1350-11df-a1f1-0026b9348838;a8a45bd6-1350-11df-a1f1-0026b9348838;a8a45ca8-1350-11df-a1f1-0026b9348838;569f77cc-87b2-442c-a871-3a96e2194e8f,,
2a8b7544-c844-4fff-a8ed-05a6ea0e7fda,,MCL/CIEL:1369,UROBILINOGEN,,,,,,Urobolinogen test in urine.,,,Test,Coded,a896d2cc-1350-11df-a1f1-0026b9348838;a8a45ab4-1350-11df-a1f1-0026b9348838;a8a45bd6-1350-11df-a1f1-0026b9348838;a8a45ca8-1350-11df-a1f1-0026b9348838;569f77cc-87b2-442c-a871-3a96e2194e8f,,
9924eedc-88af-4252-8156-53317ff9c96e,,,ANTENATAL CARE  PROFILE,,,ANC PROFILE,,,A medical examination during pregnancy.,,,LabSet,N/A,,,
7ec09bdc-bb12-476a-8e40-b9188ea20760,,MCL/CIEL:163699,UREA MEASUREMENT (CALCULATED),,,,,,A calculation based on creatinine and blood urea nitrogen..https://en.wikipedia.org/wiki/Blood_urea_nitrogen,,,Test ,Numeric,,,
