Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers
a89530d4-1350-11df-a1f1-0026b9348838,,MCL/CIEL:441,CLEAN AND DRESSING,,,WOUND DRESSING,,,"Local care for wounds, infected and non-infected.",,,Procedure order,N/A,
1aa0fb3b-9de8-42ca-83d9-e74e65572114,,,CLOSURE BY SUTURE,,,STITCHING,,,"A closure by suture is when stitches, or sutures, are used to close a variety of wound types. The skin is sewn together in order to heal.",,,Procedure order,N/A,
17112afe-7cb0-4ae7-b34b-da0edb4bedcd,,MCL/CIEL:166715;ICHI:LZZ.FA.AA,INCISION AND DRAINAGE,,,I&D,,,"Is a minor surgical procedure used to treat a localized collection of pus, known as an abscess.",,,Procedure order,N/A,
d917de34-678b-451a-8a5e-af055ef5e72d,,MCL/CIEL:167886,CATHETERIZATION OF URINARY BLADDER,,,FOLEY,,,Catheterization of the urinary bladder is a medical procedure in which a sterile tube (urinary catheter) is inserted through the urethra into the bladder to drain urine.,,,Procedure order,N/A,
b651b323-1d64-4a9b-95ae-3712b4543d03,,MCL/CIEL:162623,INSERT INTRAVENOUS (IV) LINE,,,START IV,,,"Insertion of an intravenous (IV) line is a clinical procedure in which a sterile cannula (small tube) is inserted into a vein to administer fluids, medications, or blood products directly into the bloodstream.",,,Procedure order,N/A,
93e2f92d-5702-4580-b733-cfee1bfd131c,,,NEBULIZATION,,,,,,"Nebulization is a medical procedure in which liquid medication is converted into a fine mist (aerosol) using a nebulizer machine, allowing the patient to inhale the drug directly into the lungs.",,,Procedure order,N/A,
cff16470-b89b-46a2-9b2d-8c12de17dc3e,,MCL/CIEL:163961,DEBRIDEMENT OF SKIN WOUND,,,,,,"Debridement of a skin wound is a medical procedure involving the removal of dead (necrotic), infected, or contaminated tissue from a wound to promote healing and prevent infection.",,,Procedure order,N/A,
d0a09eb2-8fc7-42fc-bcc3-f8a6687e2a16,,,INJECTION ADMINISTRATION,,,,,,Injection administration is the process of delivering medication into the body using a needle and syringe. It allows for faster absorption and precise dosing compared to oral medications.,,,Procedure order,N/A,
8705087f-58a5-4de4-9d69-68ade0e3c121,,,SPLINT APPLICATION,,,,,,"Splint application is the procedure of applying a rigid or semi-rigid device to an injured body part to immobilize and support bones, joints, or soft tissues, preventing movement and further injury.",,,Procedure order,N/A,
c3ed398c-eb30-43a4-8737-8ee3995daf7f,,,INSERTION OF CONTRACEPTIVE IMPLANT,,,,,,This is a procedure of inserting a contraceptive implant to prevent conception.,,,Procedure order,N/A,
dd3aa98a-2230-4bfb-aabb-6be9a00ace87,,MCL/CIEL:164161,REMOVAL OF CONTRACEPTIVE IMPLANT,,,,,,This is a procedure of removing contraceptive implant.,,,Procedure order,N/A,
a6c292c4-ea74-44b5-aa84-628369f5717f,,,CLEANING,,,,,,"Is the process of removing dirt, dust, organic matter, and impurities from surfaces, objects, or environments.",,,Procedure order,N/A,
3f1bcfdb-e5a6-4e92-bfac-83ed9b5c36c2,,,REMOVAL OF SKIN SUTURES OR CLIPS,,,,,,Is the process of taking out stitches (sutures) or surgical clips from a healed wound or surgical incision.,,,Procedure order,N/A,
007e5bcd-028c-441b-a7bf-89a288c6a7ca,,MCL/CIEL:166917,CHEMOTHERAPY PROCEDURE,,,,,,,,,Procedure order,N/A,
38511720-5855-4c4e-b3f8-93b82fd33f6f,,,ARTHROCENTESIS,,,JOINT ASPIRATION,,,A sterile procedure in which a needle is inserted into a joint space to withdraw synovial fluid for diagnostic testing or to relieve pain and swelling caused by excess fluid. It is usually performed under local anaesthesia.,,,Procedure order,N/A,
7f3875c3-5cfb-442b-8ad0-44871d069476,,,THROMBOLYSIS FOR PULMONARY EMBOLISM,,,PE THROMBOLYSIS,,,Administration of thrombolytic therapy to dissolve a thrombus causing pulmonary embolism.,,,Procedure order,N/A,
4822a2c9-e8b3-4cd2-a193-b189dd3f274e,,,THROMBOLYSIS FOR ST-ELEVATION MYOCARDIAL INFARCTION,,,STEMI THROMBOLYSIS,,,Administration of thrombolytic/fibrinolytic therapy to dissolve an acute coronary thrombus in a patient with ST-elevation myocardial infarction.,,,Procedure order,N/A,
d4a6b6ae-1853-4285-936e-04f0658ca0d3,,,CARDIAC DEFIBRILLATION,,,DEFIBRILLATION,,,Delivery of a therapeutic electrical shock to the heart to terminate certain life-threatening cardiac arrhythmias.,,,Procedure order,N/A,
8f66d68b-6f71-4d8c-8e59-2e23a68ec2f5,,,EVACUATION OF EPIDURAL HAEMATOMA,,,,,,Surgical evacuation of an epidural (extradural) haematoma to relieve intracranial pressure and associated mass effect.,,,Procedure order,N/A,
f72738d2-4051-4f84-9326-8e4cc01e5736,,,EVACUATION OF SUBDURAL HAEMATOMA,,,,,,Surgical evacuation of a subdural haematoma to relieve intracranial pressure and associated mass effect.,,,Procedure order,N/A,
ba2a0908-9bd8-43a3-9a93-bff9813058df,,,SURGICAL CONTROL OF BLEEDING,,,,,,Surgical intervention performed to identify and control active bleeding or haemorrhage.,,,Procedure order,N/A,
